时刻(小时)	经度	纬度	波高	周期	风速	风向
83	117.7877	38.98557	0.30	6	15	12
84	117.7877	38.98557	0.15	7	12	9.6
85	117.7877	38.98557	0.17	8	17	13.6
86	117.7877	38.98557	0.10	4	16	12.8
87	117.7877	38.98557	0.32	2	23	18.4
88	117.7877	38.98557	0.30	6	15	12
89	117.7877	38.98557	0.15	7	12	9.6
90	117.7877	38.98557	0.17	8	17	13.6
91	117.7877	38.98557	0.10	4	16	12.8
92	117.7877	38.98557	0.22	4	18	14.4
93	117.7877	38.98557	0.20	4	14	11.2
94	117.7877	38.98557	0.27	3	22	17.6
95	117.7877	38.98557	0.32	2	23	18.4
96	117.7877	38.98557	0.30	6	15	12
97	117.7877	38.98557	0.15	7	12	9.6
98	117.7877	38.98557	0.17	8	17	13.6
99	117.7877	38.98557	0.10	4	16	12.8
100	117.7877	38.98557	0.32	2	23	29.9
101	117.7877	38.98557	0.30	6	15	19.5
102	117.7877	38.98557	0.15	7	12	15.6
103	117.7877	38.98557	0.17	8	17	22.1
104	117.7877	38.98557	0.10	4	16	20.8
105	117.7877	38.98557	0.32	2	23	29.9
106	117.7877	38.98557	0.30	6	15	19.5
107	117.7877	38.98557	0.15	7	12	15.6
108	117.7877	38.98557	0.17	8	17	22.1
109	117.7877	38.98557	0.10	4	16	20.8
110	117.7877	38.98557	0.22	4	18	23.4
111	117.7877	38.98557	0.20	4	14	18.2
112	117.7877	38.98557	0.27	3	22	28.6
113	117.7877	38.98557	0.32	2	23	29.9
114	117.7877	38.98557	0.30	6	15	19.5
115	117.7877	38.98557	0.15	7	12	15.6
116	117.7877	38.98557	0.17	8	17	22.1
117	117.7877	38.98557	0.10	4	16	20.8
118	117.7877	38.98557	0.32	2	23	29.9
119	117.7877	38.98557	0.30	6	15	19.5
120	117.7877	38.98557	0.15	7	12	15.6
123	117.7877	38.98557	0.10	8	20	26
126	117.7877	38.98557	0.20	4	14	18.2
129	117.7877	38.98557	0.27	3	22	28.6
132	117.7877	38.98557	0.22	4	18	23.4
135	117.7877	38.98557	0.20	4	14	18.2
138	117.7877	38.98557	0.27	3	22	33
141	117.7877	38.98557	0.32	2	23	34.5
144	117.7877	38.98557	0.30	6	15	22.5
147	117.7877	38.98557	0.15	7	12	18
150	117.7877	38.98557	0.17	8	17	25.5
153	117.7877	38.98557	0.10	4	16	24
156	117.7877	38.98557	0.32	2	23	34.5
159	117.7877	38.98557	0.30	6	15	9
162	117.7877	38.98557	0.15	7	12	7.2
165	117.7877	38.98557	0.10	8	20	12
168	117.7877	38.98557	0.32	2	23	13.8
171	117.7877	38.98557	0.30	6	15	9
174	117.7877	38.98557	0.15	7	12	7.2
177	117.7877	38.98557	0.17	8	17	10.2
180	117.7877	38.98557	0.10	4	16	9.6
183	117.7877	38.98557	0.32	2	23	13.8
186	117.7877	38.98557	0.30	6	15	9
189	117.7877	38.98557	0.15	7	12	7.2
192	117.7877	38.98557	0.10	8	20	12
195	117.7877	38.98557	0.20	4	14	11.2
198	117.7877	38.98557	0.27	3	22	17.6
201	117.7877	38.98557	0.22	4	18	14.4
204	117.7877	38.98557	0.20	4	14	11.2
207	117.7877	38.98557	0.27	3	22	17.6
210	117.7877	38.98557	0.32	2	23	18.4
213	117.7877	38.98557	0.30	6	15	12
216	117.7877	38.98557	0.15	7	12	9.6
219	117.7877	38.98557	0.17	8	17	13.6
222	117.7877	38.98557	0.10	4	16	12.8
225	117.7877	38.98557	0.10	8	20	16
228	117.7877	38.98557	0.20	4	14	11.2
231	117.7877	38.98557	0.22	4	18	14.4
234	117.7877	38.98557	0.10	8	20	16
237	117.7877	38.98557	0.20	4	14	11.2
240	117.7877	38.98557	0.27	3	22	17.6
252	117.7877	38.98557	0.32	2	23	18.4
264	117.7877	38.98557	0.30	6	15	12
276	117.7877	38.98557	0.15	7	12	9.6
288	117.7877	38.98557	0.17	8	17	13.6
312	117.7877	38.98557	0.10	4	16	12.8
324	117.7877	38.98557	0.22	4	18	14.4
336	117.7877	38.98557	0.10	8	20	16
348	117.7877	38.98557	0.20	4	14	11.2
360	117.7877	38.98557	0.27	3	22	17.6
372	117.7877	38.98557	0.32	2	23	18.4
384	117.7877	38.98557	0.30	6	15	12
