时刻(小时)	经度	纬度	波高	周期	风速	风向
67	117.8733	38.94766	0.4	4	16	12.8
68	117.8733	38.94766	0.9	4	18	14.4
69	117.8733	38.94766	0.8	4	14	11.2
70	117.8733	38.94766	1.1	3	22	17.6
71	117.8733	38.94766	1.3	2	23	18.4
72	117.8733	38.94766	1.2	6	15	9
73	117.8733	38.94766	0.6	7	12	7.2
74	117.8733	38.94766	0.7	8	17	10.2
75	117.8733	38.94766	0.4	4	16	9.6
76	117.8733	38.94766	1.3	2	23	13.8
77	117.8733	38.94766	1.2	6	15	9
78	117.8733	38.94766	0.6	7	12	7.2
79	117.8733	38.94766	0.4	8	20	12
80	117.8733	38.94766	0.8	4	14	8.4
81	117.8733	38.94766	1.1	3	22	13.2
82	117.8733	38.94766	1.3	2	23	13.8
83	117.8733	38.94766	1.2	6	15	12
84	117.8733	38.94766	0.6	7	12	9.6
85	117.8733	38.94766	0.7	8	17	13.6
86	117.8733	38.94766	0.4	4	16	12.8
87	117.8733	38.94766	1.3	2	23	18.4
88	117.8733	38.94766	1.2	6	15	12
89	117.8733	38.94766	0.6	7	12	9.6
90	117.8733	38.94766	0.7	8	17	13.6
91	117.8733	38.94766	0.4	4	16	12.8
92	117.8733	38.94766	0.9	4	18	14.4
93	117.8733	38.94766	0.8	4	14	11.2
94	117.8733	38.94766	1.1	3	22	17.6
95	117.8733	38.94766	1.3	2	23	18.4
96	117.8733	38.94766	1.2	6	15	12
97	117.8733	38.94766	0.6	7	12	9.6
98	117.8733	38.94766	0.7	8	17	13.6
99	117.8733	38.94766	0.4	4	16	12.8
100	117.8733	38.94766	1.3	2	23	29.9
101	117.8733	38.94766	1.2	6	15	19.5
102	117.8733	38.94766	0.6	7	12	15.6
103	117.8733	38.94766	0.7	8	17	22.1
104	117.8733	38.94766	0.4	4	16	20.8
105	117.8733	38.94766	1.3	2	23	29.9
106	117.8733	38.94766	1.2	6	15	19.5
107	117.8733	38.94766	0.6	7	12	15.6
108	117.8733	38.94766	0.7	8	17	22.1
109	117.8733	38.94766	0.4	4	16	20.8
110	117.8733	38.94766	0.9	4	18	23.4
111	117.8733	38.94766	0.8	4	14	18.2
112	117.8733	38.94766	1.1	3	22	28.6
113	117.8733	38.94766	1.3	2	23	29.9
114	117.8733	38.94766	1.2	6	15	19.5
115	117.8733	38.94766	0.6	7	12	15.6
116	117.8733	38.94766	0.7	8	17	22.1
117	117.8733	38.94766	0.4	4	16	20.8
118	117.8733	38.94766	1.3	2	23	29.9
119	117.8733	38.94766	1.2	6	15	19.5
120	117.8733	38.94766	0.6	7	12	15.6
123	117.8733	38.94766	0.4	8	20	26
126	117.8733	38.94766	0.8	4	14	18.2
129	117.8733	38.94766	1.1	3	22	28.6
132	117.8733	38.94766	0.9	4	18	23.4
135	117.8733	38.94766	0.8	4	14	18.2
138	117.8733	38.94766	1.1	3	22	33
141	117.8733	38.94766	1.3	2	23	34.5
144	117.8733	38.94766	1.2	6	15	22.5
147	117.8733	38.94766	0.6	7	12	18
150	117.8733	38.94766	0.7	8	17	25.5
153	117.8733	38.94766	0.4	4	16	24
156	117.8733	38.94766	1.3	2	23	34.5
159	117.8733	38.94766	1.2	6	15	9
162	117.8733	38.94766	0.6	7	12	7.2
165	117.8733	38.94766	0.4	8	20	12
168	117.8733	38.94766	1.3	2	23	13.8
171	117.8733	38.94766	1.2	6	15	9
174	117.8733	38.94766	0.6	7	12	7.2
177	117.8733	38.94766	0.7	8	17	10.2
180	117.8733	38.94766	0.4	4	16	9.6
183	117.8733	38.94766	1.3	2	23	13.8
186	117.8733	38.94766	1.2	6	15	9
189	117.8733	38.94766	0.6	7	12	7.2
192	117.8733	38.94766	0.4	8	20	12
195	117.8733	38.94766	0.8	4	14	11.2
198	117.8733	38.94766	1.1	3	22	17.6
201	117.8733	38.94766	0.9	4	18	14.4
204	117.8733	38.94766	0.8	4	14	11.2
207	117.8733	38.94766	1.1	3	22	17.6
210	117.8733	38.94766	1.3	2	23	18.4
213	117.8733	38.94766	1.2	6	15	12
216	117.8733	38.94766	0.6	7	12	9.6
219	117.8733	38.94766	0.7	8	17	13.6
222	117.8733	38.94766	0.4	4	16	12.8
225	117.8733	38.94766	0.4	8	20	16
228	117.8733	38.94766	0.8	4	14	11.2
231	117.8733	38.94766	0.9	4	18	14.4
234	117.8733	38.94766	0.4	8	20	16
237	117.8733	38.94766	0.8	4	14	11.2
240	117.8733	38.94766	1.1	3	22	17.6
252	117.8733	38.94766	1.3	2	23	18.4
264	117.8733	38.94766	1.2	6	15	12
276	117.8733	38.94766	0.6	7	12	9.6
288	117.8733	38.94766	0.7	8	17	13.6
312	117.8733	38.94766	0.4	4	16	12.8
324	117.8733	38.94766	0.9	4	18	14.4
336	117.8733	38.94766	0.4	8	20	16
348	117.8733	38.94766	0.8	4	14	11.2
360	117.8733	38.94766	1.1	3	22	17.6
372	117.8733	38.94766	1.3	2	23	18.4
384	117.8733	38.94766	1.2	6	15	12
